CD_auc_max,CD_auc_mean,CD_auc_min,CD_auc_n,CD_auc_std,HYP_auc_max,HYP_auc_mean,HYP_auc_min,HYP_auc_n,HYP_auc_std,MI_auc_max,MI_auc_mean,MI_auc_min,MI_auc_n,MI_auc_std,NORM_auc_max,NORM_auc_mean,NORM_auc_min,NORM_auc_n,NORM_auc_std,STTC_auc_max,STTC_auc_mean,STTC_auc_min,STTC_auc_n,STTC_auc_std,macro_auc_max,macro_auc_mean,macro_auc_min,macro_auc_n,macro_auc_std,n_records_mean,n_runs,subgroup,variant
0.9151387720773758,0.9043776282590412,0.8964816372301654,20,0.004669220370852034,0.9219216772581609,0.9149367226114823,0.9001140622453968,20,0.005512643080225655,0.9234993043132579,0.9197488073941562,0.9146292983502285,20,0.0027826503504440555,0.9330998563218391,0.9293413662486938,0.9259812565308254,20,0.0020996686160514914,0.9547600417318727,0.9488562858633282,0.9455399061032864,20,0.0025231361981190815,0.926713000861127,0.9234521620753403,0.9197522808487072,20,0.0018365562601715237,703.0,20,age_45_65,none
0.9327234560862466,0.9276201459410831,0.9217352994531837,20,0.002456720881620298,0.8927329406176809,0.8890420868160005,0.8832389760276029,20,0.0024596744562408596,0.9053835191550005,0.900538854891441,0.894250984994551,20,0.0033745735324310056,0.9531619245675395,0.948921211834767,0.9449814097110628,20,0.0019140561623343653,0.9160654008438818,0.9121441631504922,0.9080907172995781,20,0.002268862514104162,0.9175303297259173,0.9156532925267568,0.9127706919015088,20,0.001313950378561967,1150.0,20,age_gt65,none
0.8711869525823014,0.8525294472968892,0.8352461491996375,20,0.009161185100027653,0.9691411307725507,0.958254208027622,0.9473457056538628,20,0.006618587126972329,0.9885683179096353,0.9757621121393576,0.9629831246597713,20,0.006049873583453835,0.9000222419928825,0.8925322508896798,0.8753336298932385,20,0.006162669954863888,0.9688931757897274,0.9625874125874125,0.9496021220159152,20,0.005139650166406461,0.9340978275033918,0.9283330861881922,0.9222231852130556,20,0.002999453012851825,345.0,20,age_lt45,none
0.9491803512576508,0.9448295786905596,0.9414332795936711,20,0.00233077092021229,0.9261719024527375,0.9154517183217374,0.8977616136060159,20,0.006450957592841161,0.9488459685542854,0.94154002248208,0.9357946831340604,20,0.0037730883658003826,0.9596151015602001,0.9559376839858699,0.9520532823079187,20,0.0022651387974361083,0.9384506627393225,0.934544329896907,0.9302621502209131,20,0.0024660766175133722,0.9415464420859971,0.9384606666754308,0.9325933593996705,20,0.0022093632839621747,660.0,20,meta_complete,none
0.9133907742805228,0.9083774690815309,0.9032202098352969,20,0.002623106130001979,0.9136520319303338,0.9041008254716981,0.8992516328011612,20,0.0038386908233950905,0.9257937680885133,0.9207468469368878,0.9169773124057697,20,0.0023676219675986022,0.9502651450101218,0.9470278519351162,0.9440324592308107,20,0.0014903909644431211,0.9388917445785001,0.9358583960507432,0.9326434418279862,20,0.0015824873127841,0.9251283843791208,0.9232222778951952,0.9207368745208419,20,0.0011445122537960927,1538.0,20,meta_incomplete,none
0.9324871069127785,0.9268783969160778,0.9212523224921428,20,0.0027417040302352607,0.9175972361529031,0.9124443701474794,0.905434822987481,20,0.003373312581746923,0.9367245307365066,0.9332401862940787,0.9286114639408053,20,0.0025628994632025106,0.9568483841739656,0.9544600385080036,0.9521009513742071,20,0.0011999259987509221,0.9522939062900472,0.9478390807932803,0.942926779729867,20,0.0022906273099803703,0.9365721202895567,0.9349724145317839,0.9326685444605204,20,0.0011150181565179058,1132.0,20,sex_female,none
0.9126638235905971,0.9092113064281258,0.9034064905346371,20,0.002715845911136346,0.9107024561226971,0.906617024309661,0.9016628512490252,20,0.002825315804098121,0.9199568280267784,0.9138930618555199,0.9066795015776244,20,0.003297228983527744,0.9440390613423542,0.9414074443516821,0.9373457225155679,20,0.001701384669827928,0.9234761601359244,0.9202590173799156,0.916095890410959,20,0.0018187731800399967,0.9206801510812948,0.9182775708649806,0.9158448435881066,20,0.001394035680055981,1066.0,20,sex_male,none
0.9091813849172975,0.9017332492290441,0.8904962153069806,20,0.005652386405850351,0.9290913041116723,0.9198943566346205,0.9129324860137961,20,0.004253425801581028,0.9285430331941961,0.9207134516000794,0.9074612403100775,20,0.004737911490430077,0.9324222831765935,0.92746661115465,0.9219811259143156,20,0.002969913320346263,0.9530646844027126,0.9496922274387061,0.9438967136150235,20,0.0023971806429546904,0.9272589339578566,0.9238999792114202,0.9205878253869451,20,0.0021732440870070326,703.0,20,age_45_65,demo
0.9319237789188809,0.9272227137933203,0.9225386788296577,20,0.002788807680736788,0.8988311340892837,0.8915790881644823,0.8867057198543422,20,0.00306324917236289,0.9088171682454522,0.9028391315282086,0.898543046357616,20,0.0033953931819975906,0.952614456312821,0.9506392381132434,0.9483607461322747,20,0.0011245437776284336,0.9166420534458508,0.9120397327707455,0.9084985935302391,20,0.002257189066413268,0.9195409231978584,0.916863980874,0.9141610548412265,20,0.0016652273955772403,1150.0,20,age_gt65,demo
0.8746602234974328,0.8544359710057385,0.8372093023255813,20,0.009351740075272855,0.9609408718170048,0.9329413034095813,0.838368580060423,20,0.026807320800210175,0.9888405008165487,0.9778307022318996,0.9657049537289057,20,0.006436466230707434,0.8948509786476868,0.8839357206405694,0.8713856761565837,20,0.007079958869824819,0.9693754521340727,0.9625090426814564,0.9527369182541597,20,0.004189708403055657,0.9307235952560917,0.9223305479938493,0.9038787144476211,20,0.006311709243562478,345.0,20,age_lt45,demo
0.9526187384970966,0.9457412506598564,0.9392218687135295,20,0.0032142781307173598,0.9268746925293415,0.9197176540867241,0.9115538688593717,20,0.0036412549249639826,0.9498678812829384,0.9430276354399334,0.9381596811632287,20,0.0034582181890003547,0.9633776125993524,0.95970387474242,0.9551718428024727,20,0.0022456379482440887,0.9390279823269514,0.9354898379970547,0.9319941089837998,20,0.002023165085472288,0.9455715406972537,0.9407360505851978,0.9377893433519866,20,0.0017585681808674365,660.0,20,meta_complete,demo
0.9128820116054159,0.9065361936580505,0.9004560107848311,20,0.002949721965286634,0.9130578737300437,0.904407202467344,0.8982129898403483,20,0.0031388923262755347,0.9287644841012467,0.9227359188698946,0.9172388715106845,20,0.0027390836281984726,0.9481297605975607,0.9462376642953666,0.9439942963899688,20,0.0012313505424891478,0.9396579314893121,0.9357135842999573,0.9315911471466811,20,0.0020911241788414197,0.9250855531121147,0.9231261127181225,0.9207249312714462,20,0.001279901162226087,1538.0,20,meta_incomplete,demo
0.930746323082533,0.9270216534407613,0.9196547951865807,20,0.003181473758582671,0.919945020245923,0.9125116089007766,0.9063412459601026,20,0.0035241126759844145,0.9403576685013811,0.935438617714067,0.9312445815439828,20,0.002649718020541303,0.9566501812141347,0.9545715669988926,0.9517800513440047,20,0.0012116503706277083,0.9527968392597214,0.9487692649924803,0.946897048653929,20,0.0014651160653956392,0.937721527677876,0.9356625424093956,0.9335152067964652,20,0.0013287657467998366,1132.0,20,sex_female,demo
0.9127106303307676,0.9076893072602458,0.9030372373621801,20,0.0026591940124152183,0.9159517999547182,0.909644201823015,0.903994029500306,20,0.003692525916632163,0.9212694893747357,0.9159731439211626,0.9071413639037577,20,0.0032836989715070296,0.9463810071089619,0.9433735222792048,0.9407899730025697,20,0.001583265542411408,0.9248787653534387,0.9199154454709566,0.9152242398499169,20,0.002212567623624032,0.9218351281658922,0.9193191241509171,0.9165381458578883,20,0.0014736800240830335,1066.0,20,sex_male,demo
0.9123633305298571,0.903605270535464,0.8967059153350153,20,0.004391358687810786,0.9329748519906578,0.9187958285807397,0.9044864483189398,20,0.0063678446239972845,0.9347420989862851,0.928176555356788,0.9176108129596501,20,0.004041995775751647,0.9345611285266457,0.9303593586729363,0.9261200365726228,20,0.002776371715086963,0.9545513823682837,0.9512989045383412,0.9456442357850808,20,0.0023932043039773684,0.9308154150848882,0.926447183536854,0.9231095251879475,20,0.0022075028623928105,703.0,20,age_45_65,demo+anthro
0.9332306587340667,0.9273719128203799,0.922142542455083,20,0.002621628434886682,0.9002505882545626,0.8918288575031801,0.8846311329973958,20,0.003871666597870556,0.9114930002514879,0.9052873669209491,0.89777852292732,20,0.0039208902354133345,0.9540441755679491,0.950425469483568,0.9469585972209094,20,0.0018680488066945484,0.919071729957806,0.9140428973277075,0.9107876230661041,20,0.0026625093643026505,0.9208550007716834,0.9177913008111569,0.914197173781871,20,0.0018146934104901937,1150.0,20,age_gt65,demo+anthro
0.8774539414074297,0.8569654183026276,0.8336605255209907,20,0.011336086027594451,0.9570565386275356,0.9201337936987484,0.8254208027621924,20,0.03393259805752424,0.9910179640718563,0.9829749591725637,0.9738704409363093,20,0.00485811275932287,0.9050822953736655,0.8893850088967972,0.8726645907473309,20,0.00881901439265471,0.9697371593923318,0.962864721485411,0.9534603327706777,20,0.00431254641509533,0.933457970504457,0.9224647803112298,0.9013939981569555,20,0.008247303040544239,345.0,20,age_lt45,demo+anthro
0.9503787932830178,0.9444436518240572,0.9378236863506013,20,0.0036416521715510234,0.9242743692459061,0.917555696113571,0.9048246538758872,20,0.005588825014419203,0.948116030890962,0.9420152119009038,0.9337216601702215,20,0.004034135622775993,0.9631384309685017,0.9600263099793936,0.955852590521048,20,0.0018338866538264308,0.9412783505154638,0.9376553755522826,0.9329484536082474,20,0.002081084991323969,0.9439426673862001,0.9403392490740419,0.9350961122196886,20,0.002008544209384923,660.0,20,meta_complete,demo+anthro
0.9103335091729674,0.9074581794736535,0.9032905456889982,20,0.0022573055796654604,0.9093886066763426,0.9045165094339623,0.8966527576197387,20,0.003915240164601645,0.9294343305894436,0.9255501247190365,0.9184254567183475,20,0.0030289993422966247,0.9508254449006638,0.9460999745002836,0.9428390031172103,20,0.0019259053624144848,0.9405501997905109,0.936913479070489,0.9339527485743104,20,0.0017291448276035818,0.9262082897762489,0.924107653439485,0.9212529270371164,20,0.0014025774017165842,1538.0,20,meta_incomplete,demo+anthro
0.932886488739169,0.9265002865130493,0.9236920245185712,20,0.0024061276226889005,0.9179241427987667,0.9116765110145251,0.9007169657119507,20,0.004592476087191268,0.9439141918183834,0.9396056372104278,0.9315671686929172,20,0.003107429517877196,0.9602115423336354,0.9559663810027184,0.9538721936977751,20,0.0015495113162615492,0.9538800795020963,0.9502347826507471,0.9469405716993815,20,0.0016832776546531298,0.9388907426736358,0.9367967196782934,0.9340309451574959,20,0.0012461199135044058,1132.0,20,sex_female,demo+anthro
0.9158206781776576,0.9101349594341585,0.9052371541501976,20,0.002595347793435064,0.9140147417675027,0.9081758949460392,0.8980319153396561,20,0.004176020475501466,0.924303195601126,0.9193299106904114,0.9133449042000302,20,0.003095190708974828,0.9466231527360649,0.9443044276508621,0.9412200525492151,20,0.0015301336937796981,0.9257238681816573,0.9219339580899792,0.9163569431170577,20,0.0021292030835683073,0.9233772326920823,0.9207758301622901,0.9176110410843924,20,0.0015889107575189694,1066.0,20,sex_male,demo+anthro
